<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z004E0115/PHZ51	0.011867557	0.011977642	0.014214391	-0.017340474	-0.010737954
Z004E0116/PHZ51	0.0027794936	0.0069047073	0.009282335	-0.015964743	0.02736757
Z004E0118/PHZ51	0.00625652	-0.014269791	0.0032978223	-0.02924556	0.010780596
Z004E0121/PHZ51	-0.0024920346	-0.009983903	-0.005830404	-0.02799737	0.0035059082
Z004E0123/PHZ51	0.013626759	-0.0012304239	-0.029041192	-0.0055314912	0.010368202
Z004E0125/PHZ51	0.021545334	0.014541869	-0.005320522	0.017766928	0.013117203
Z004E0127/PHZ51	0.016927943	0.013836705	0.02786737	-0.012383171	0.025328478
Z004E0131/PHZ51	-0.005327743	-0.01608893	-0.00701403	0.010397097	0.005706727
Z004E0132/PHZ51	0.012858892	-0.0031307396	-0.027309775	-0.008950804	0.033128224
Z004E0133/PHZ51	0.0069814534	-0.0029040189	-0.030340057	-0.013320736	-0.0011877173
Z004E0137/PHZ51	0.009288138	0.004655145	0.009326951	-0.02110215	-0.0050414586
Z004E0142/PHZ51	0.02295343	0.023457434	-0.012333451	8.8773645E-4	0.021991104
Z004E0143/PHZ51	0.039724745	0.01711678	-0.008992706	-0.010545661	-0.0013787681
Z004E0150/PHZ51	0.040476523	0.0069300435	-0.008703215	-0.011960452	0.0113693485
Z004E0156/PHZ51	0.017152138	0.011026247	0.018485837	-0.018318798	0.0051798727
Z004E0160/PHZ51	0.018787423	0.0020131757	-0.012417193	0.007203114	0.017906284
Z004E0161/PHZ51	0.016357744	0.020879593	-0.01291821	-0.0015684454	0.013840627
Z004E0163/PHZ51	0.004460334	-0.0055282316	0.019246485	0.019619375	0.0110205
Z004E0165/PHZ51	0.007267547	-0.0066172495	0.009656313	-0.015661683	0.022990432
Z004E0167/PHZ51	0.023872564	-0.021470625	-0.015016172	0.014405345	-0.0073411576
Z004E0170/PHZ51	0.010973786	0.017890554	0.022734469	-0.006003854	0.019999469
Z004E0173/PHZ51	0.012454507	0.015641784	0.020434374	-0.0018713134	0.012701449
Z004E0178/PHZ51	0.033119302	0.011678372	-0.009216127	-0.008957062	-0.007838068
Z004E0180/PHZ51	0.0237406	-0.020830492	-0.014396777	0.014253191	0.029695304
Z004E0181/PHZ51	0.008200519	-0.0010218967	-0.035128605	-0.014608467	-3.904009E-4
Z004E0186/PHZ51	0.0027404495	-0.008053307	-0.022656722	-0.013564612	4.284601E-4
Z004E0198/PHZ51	0.0048090187	-0.009530432	-0.024976872	0.011380495	-0.009460305
Z004E0200/PHZ51	0.0029240544	-0.021300564	0.017399108	0.011189535	0.011768931
Z005E0003/PHZ51	-0.0010609548	-0.0033428476	-0.02177015	-0.01037865	0.0020382775
Z005E0007/PHZ51	-0.0075899707	-0.026702981	0.009537068	-0.0017689024	-0.009878114
Z005E0010/PHZ51	0.011629575	-0.015747674	-0.0051800325	0.01943092	4.6155686E-4
Z005E0017/PHZ51	-5.1119697E-4	0.011309888	-0.017393513	4.1791933E-4	0.004317514
Z005E0020/PHZ51	0.011926146	-0.0052782637	-0.014513627	-0.0010014088	0.0041675153
Z005E0027/PHZ51	0.009417716	0.0029431584	0.01864753	-0.015425877	-0.02098611
Z005E0037/PHZ51	7.1854435E-4	-0.0022442923	0.026430655	0.0023724057	0.0019708953
Z005E0038/PHZ51	0.0047568334	0.014622596	-0.0041073156	-0.014737292	-0.019385245
Z005E0040/PHZ51	-0.0038012366	-0.016937457	-0.0036498446	-0.030746218	-0.004924784
Z005E0045/PHZ51	0.017395059	-0.026206588	-0.008560714	5.283833E-4	-0.0070248013
Z005E0048/PHZ51	-0.002838485	0.0062060067	0.01120834	-0.011757993	-0.002403281
Z005E0053/PHZ51	0.020995853	-0.0019851606	0.0037772334	0.015022408	-0.025965422
Z005E0054/PHZ51	0.006231669	-0.02332197	-0.008688815	0.007705862	-0.020506272
Z005E0055/PHZ51	0.0039060828	-0.02590982	0.015795829	-0.004932456	-0.017648488
Z005E0057/PHZ51	0.01444808	0.016227383	0.001696082	-0.0077802422	-0.012067318
Z005E0058/PHZ51	0.013800636	0.01086067	0.018196927	-0.009946035	0.011729241
