<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z003E0187/PHZ51	0.00135108	-0.027135521	0.0012290046	-0.0027501797	-0.0096724015
Z003E0191/PHZ51	0.016092936	0.00602972	-0.019607646	-0.0028523204	-0.015919698
Z003E0192/PHZ51	0.027598249	-0.006144737	0.014578166	-0.017351747	-0.014924746
Z003E0200/PHZ51	0.010902804	0.0040709577	-0.027285986	-0.013510021	0.015704717
Z004E0001/PHZ51	0.008116135	-0.002135981	-0.017567843	0.023465628	0.016442917
Z004E0002/PHZ51	-0.0017608656	-0.018343676	8.227793E-4	-8.352778E-4	0.023705686
Z004E0008/PHZ51	-0.0043178084	-0.024642568	8.3165934E-5	0.00412651	-0.013722596
Z004E0011/PHZ51	0.014145529	0.01640919	0.027058188	-0.009700479	0.01353428
Z004E0013/PHZ51	0.026563324	-0.01572595	-0.0068148524	-0.0032896781	-2.515377E-4
Z004E0016/PHZ51	0.007581808	-0.007838367	0.0076486156	-0.025256675	0.029356975
Z004E0017/PHZ51	0.007912882	-0.00489771	0.018903334	0.00459482	0.009462941
Z004E0019/PHZ51	-0.0021867957	-0.015622798	-0.0019392048	0.004910066	0.018902581
Z004E0027/PHZ51	0.009068854	3.3511803E-4	0.025621116	0.020359773	0.0059433198
Z004E0029/PHZ51	0.0152209895	0.015861122	0.016179705	-0.017066272	0.013770438
Z004E0031/PHZ51	0.0072370437	-0.029773038	0.0064411266	-5.2452926E-4	-0.0043199942
Z004E0033/PHZ51	0.01902212	-0.013428686	0.017987266	0.0056237476	-0.011926119
Z004E0039/PHZ51	-0.0071519935	-0.006175736	0.006183906	-0.018243557	0.012657094
Z004E0042/PHZ51	0.011142443	0.018143877	0.008064367	-0.0151545955	0.018059133
Z004E0043/PHZ51	0.013568777	0.016343247	-0.016074605	-0.015846591	0.019309973
Z004E0044/PHZ51	0.01038755	-0.026876483	0.0055893953	-0.00449462	-9.648698E-5
Z004E0045/PHZ51	0.0053275167	-0.019137738	-0.01180945	0.00476396	0.02306587
Z004E0048/PHZ51	0.0014518414	-0.025776498	0.0041265795	0.007758813	-0.0073596365
Z004E0051/PHZ51	0.008204238	0.0020698057	-0.02023474	0.010277454	0.015340921
Z004E0052/PHZ51	0.012356687	-0.0065750317	-0.022033196	-0.025165066	-0.0023070113
