pheno	geno	nam	intercept	gsEffect	r2	pval
PH	genomesize	Mo18W	-733.365641042841	5.26298498452922e-07	0.0705434842422423	0.0369413350948361
GY	genomesize	Mo18W	91.1333928333205	-3.65694993267272e-08	0.0579716829958333	0.0615955798183209
GYraw	genomesize	Mo18W	59.2858448957342	-2.84432871795891e-08	0.0367283279245415	0.138981810445057
DTS	genomesize	Ms71	105.608274631278	-2.03060905225191e-08	0.0052335818791981	0.589427320414456
PH	genomesize	Ms71	864.849706449775	-3.4308756796028e-07	0.0104878425999622	0.444290030156902
GY	genomesize	Ms71	-24.9909750621672	2.57863364566126e-08	0.0208353786671398	0.293066122313522
GYraw	genomesize	Ms71	-55.3970523969008	3.34551429738264e-08	0.0471008289149382	0.111478435922797
DTS	genomesize	NC350	12.9711757727237	3.1411017124177e-08	0.0107292805826348	0.40419732895516
PH	genomesize	NC350	76.9976662658573	9.2416589913481e-08	0.0021066079999395	0.712266327003205
GY	genomesize	NC350	86.8619232500096	-3.40531131319451e-08	0.0642092621397367	0.0433508619655364
GYraw	genomesize	NC350	77.7433484596053	-3.79046551020621e-08	0.0757927617055636	0.0276816687893819
DTS	genomesize	NC358	93.2979994347701	-1.29184059975272e-08	0.00363934936750096	0.633098693548988
PH	genomesize	NC358	2102.14317055363	-1.00373585851765e-06	0.215341880446007	9.87930611707388e-05
GY	genomesize	NC358	30.5455043719986	-3.92700363544116e-09	0.000498456138515653	0.863248910802576
GYraw	genomesize	NC358	43.7044043378607	-1.99241660966534e-08	0.0140019159688351	0.355665590164071
DTS	genomesize	Oh43	177.221227004913	-5.88132126061888e-08	0.0797505143672568	0.0249314311067266
PH	genomesize	Oh43	732.800471717582	-2.64281072046615e-07	0.0156617323200116	0.324465453840075
GY	genomesize	Oh43	59.2143367852805	-1.9364209717128e-08	0.0260026234743951	0.226560016240363
GYraw	genomesize	Oh43	30.3032321924195	-1.28149494653023e-08	0.0076159318083949	0.514788463167291
DTS	genomesize	Oh7B	176.397120502636	-5.72767469273927e-08	0.0434521078211274	0.098339150291832
PH	genomesize	Oh7B	422.961637822982	-9.32349501496876e-08	0.00142422178869699	0.767179707680941
