line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
MO174	140	144	176	122	3740955.455	1.01
MO176	127	103	135	114	1907629.167	0.81
MO177	137	140	171	120	3427281.582	1.02
MO178	136	133	163	115	2983937.137	0.98
MO181	144	128	162	124	2887494.12	0.89
MO182	125	112	142	113	2172158.223	0.90
MO183	129	113	146	115	2203769.675	0.88
MO187	132	130	162	121	2902606.357	0.99
MO188	144	137	171	123	3428349.611	0.94
MO189	143	121	156	127	2700016.705	0.85
MO190	131	105	137	117	2345599.079	0.79
MO194	139	131	163	121	3018080.688	0.94
MO195	153	143	178	131	3742310.789	0.94
MO196	149	149	184	133	3760297.504	1.00
MO197	153	127	163	133	3181215.256	0.82
MO198	146	134	166	127	3046113.632	0.92
MO199	140	119	153	124	2524561.063	0.86
MO200	134	126	160	120	2764157.14	0.94
MO202	165	146	184	140	3953856.1	0.89
MO205	133	109	139	113	2233743.116	0.81
MO206	133	116	147	117	2366925.973	0.87
MO209	138	125	158	126	2824375.301	0.91
MO210	134	108	141	119	2137396.66	0.80
MO213	139	117	153	122	2504130.465	0.84
MO218	151	126	163	132	2863089.595	0.84
MO219	141	146	178	124	3630658.065	1.03
MO220	147	106	142	121	2275702.018	0.72
MO222	130	120	150	113	2464587.815	0.92
MO223	136	104	139	121	2024422.651	0.77
MO224	150	147	186	133	4131747.521	0.97
MO228	153	141	174	132	3537929.35	0.93
MO229	149	153	187	128	4242128.425	1.03
MO230	142	122	155	123	2653185.009	0.86
MO232	140	118	152	123	2502308.919	0.84
MO236	136	116	148	121	2368160.277	0.85
MO237	151	136	169	130	3268537.327	0.91
MO238	145	155	185	123	4017603.412	1.06
MO240	158	125	162	135	3011164.785	0.79
MO241	134	131	159	113	2835711.03	0.97
MO248	147	134	167	127	3387916.726	0.91
MO250	144	127	163	132	2898869.774	0.88
MO255	139	117	149	123	2408911.892	0.84
MO256	138	126	159	123	2953168.318	0.91
MO258	149	122	161	129	2899794.902	0.82
MO262	142	159	190	121	3561889.571	1.13
MO263	139	122	155	119	2810646.029	0.88
MO264	143	124	159	124	2038711.321	0.87
MO265	146	129	162	122	2228724.324	0.89
MO266	157	129	166	131	2380177.472	0.82
MO267	142	156	187	118	3310525.432	1.11
MO268	149	135	168	129	3141335.683	0.91
MO269	131	140	169	109	2446699.871	1.10
MO270	142	125	158	130	2850906.29	0.88
MO271	144	110	146	127	2377748.606	0.75
MO272	159	135	174	136	2695653.722	0.85
MO274	147	132	165	125	3089443.03	0.91
MO275	153	134	171	127	2561524.579	0.87
MO276	152	133	168	126	2554772.254	0.88
MO277	137	123	155	125	2772617.344	0.89
MO278	134	125	157	123	2750490.111	0.93
MO279	147	110	148	130	2298717.787	0.76
MO280	147	117	153	127	2680308.747	0.79
MO281	135	139	169	114	2449574.094	1.06
MO282	135	117	149	123	2447135.399	0.87
MO283	144	129	163	123	2951101.544	0.89
MO284	158	135	172	132	2593788.571	0.86
MO286	147	127	163	130	2837897.883	0.86
MO287	134	137	167	111	2428744.767	1.03
MO288	151	132	165	125	2384905.88	0.87
MO289	153	149	185	132	4093976.545	0.98
MO292	146	132	168	130	3183069.429	0.91
MO295	140	154	188	125	4015842.376	1.11
MO296	138	140	169	112	2487984.933	1.02
MO297	140	133	165	114	2214485.889	0.96
MO298	148	147	179	120	2943928.259	1.00
MO300	146	141	175	128	3606985.164	0.96
MO301	141	138	166	118	3138279.309	0.99
MO302	151	137	170	133	3449494.377	0.91
MO303	141	128	159	124	2820052.866	0.91
MO304	151	144	177	131	3652892.328	0.95
MO305	152	151	184	130	3877851.515	1.00
MO307	139	133	164	123	3204103.702	0.94
MO308	130	137	167	115	3025492.012	1.06
MO309	141	127	158	116	2071025.885	0.90
MO310	163	112	152	134	1926809.484	0.68
MO311	141	139	169	114	2592447.813	1.00
MO313	145	133	167	125	3070668.339	0.91
MO315	132	158	187	112	3201210.786	1.22
MO317	133	134	165	114	2184782.219	1.02
MO318	143	127	159	127	2794098.751	0.89
MO321	134	124	157	115	1934479.176	0.94
MO322	165	138	177	136	2914862.05	0.83
MO323	133	133	162	111	2185057.452	1.02
MO325	155	109	146	129	1758836.317	0.69
MO326	153	153	185	127	3321405.091	1.00
MO327	150	142	175	130	3441364.422	0.95
MO328	142	125	158	121	2084459.724	0.88
